;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
4873;01.2.1;Café, té, yerba y cacao;Clase;201806;146,1261;6,1;34,8;Cuyo
4874;01.2.1;Café, té, yerba y cacao;Clase;201806;143,8285;6,2;30,1;Patagonia
4875;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;138,8578;3,3;26,5;Pampeana
4876;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;148,0914;2;34,7;Noreste
4877;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;140,3546;1,8;26,9;Noroeste
4878;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;142,9045;3,4;26,3;Cuyo
4879;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;144,5091;3,3;30,7;Patagonia
4906;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201806;140,6163;3,1;26,3;GBA
4926;11.1;Restaurantes y comidas fuera del hogar;Grupos;201806;141,0514;3,3;26,1;GBA
4934;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201806;137,0018;2,5;24,9;GBA
4935;01.2.1;Café, té, yerba y cacao;Clase;201806;147,6169;6,9;32,5;GBA
4936;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201806;136,5459;1,2;25,5;GBA
4995;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;144,7343;2,4;26,6;Pampeana
4996;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;139,4626;2,4;21,4;Noreste
4997;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;141,6122;4,3;27,3;Noroeste
4998;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;148,0265;4,2;32,9;Cuyo
4999;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201807;143,9418;1,9;28,4;Patagonia
5085;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;144,4063;2;26,5;Pampeana
5086;11.1;Restaurantes y comidas fuera del hogar;Grupos;201807;139,1077;2,1;21,2;Noreste
